Pressure, Temperature, X_ch4, X_c2h6, X_c3h8, ch4_uptake, c2h6_uptake, c3h8_uptake
0.3,280,0.4,0.2,0.4,0.0000200000,0.0016800000,0.1056000000
0.3,280,0.4,0.3,0.3,0.0000000000,0.0027400000,0.0745200000
0.3,280,0.5,0.4,0.1,0.0000200000,0.0043200000,0.0249600000
0.3,280,0.5,0.1,0.4,0.0000200000,0.0007600000,0.0966000000
0.3,280,0.6,0.1,0.3,0.0000400000,0.0009800000,0.0764600000
0.3,300,0.1,0.6,0.3,0.0000000000,0.0017000000,0.0167600000
0.3,300,0.1,0.2,0.7,0.0000000000,0.0008000000,0.0394400000
0.3,300,0.2,0.3,0.5,0.0000000000,0.0007600000,0.0272200000
0.3,300,0.2,0.5,0.3,0.0000200000,0.0016400000,0.0171000000
0.3,300,0.2,0.6,0.2,0.0000000000,0.0019800000,0.0122400000
0.3,300,0.2,0.4,0.4,0.0000000000,0.0013400000,0.0218000000
0.3,300,0.3,0.3,0.4,0.0000000000,0.0007400000,0.0217200000
0.3,300,0.3,0.2,0.5,0.0000400000,0.0004600000,0.0269200000
0.3,300,0.333,0.333,0.334,0.0000200000,0.0009000000,0.0200000000
0.3,300,0.3,0.4,0.3,0.0000000000,0.0012400000,0.0171600000
0.3,300,0.4,0.1,0.5,0.0000000000,0.0003600000,0.0288000000
0.3,300,0.4,0.2,0.4,0.0000000000,0.0006400000,0.0231400000
0.3,300,0.4,0.3,0.3,0.0000000000,0.0009600000,0.0168400000
0.3,300,0.5,0.4,0.1,0.0000000000,0.0012600000,0.0052000000
0.3,300,0.5,0.1,0.4,0.0000200000,0.0002400000,0.0233400000
0.3,300,0.6,0.1,0.3,0.0000200000,0.0002600000,0.0171200000
0.3,320,0.1,0.6,0.3,0.0000000000,0.0004600000,0.0048800000
0.3,320,0.1,0.2,0.7,0.0000000000,0.0002400000,0.0114400000
0.3,320,0.2,0.3,0.5,0.0000600000,0.0002800000,0.0080000000
0.3,320,0.2,0.5,0.3,0.0000000000,0.0005400000,0.0045800000
0.3,320,0.2,0.6,0.2,0.0000000000,0.0007600000,0.0035400000
0.3,320,0.2,0.4,0.4,0.0000000000,0.0005000000,0.0069400000
0.3,320,0.3,0.3,0.4,0.0000000000,0.0005200000,0.0065000000
0.3,320,0.3,0.2,0.5,0.0000000000,0.0003600000,0.0078400000
0.3,320,0.333,0.333,0.334,0.0000000000,0.0004200000,0.0047400000
0.3,320,0.3,0.4,0.3,0.0000000000,0.0006000000,0.0049400000
0.3,320,0.4,0.1,0.5,0.0000200000,0.0001400000,0.0078800000
0.3,320,0.4,0.2,0.4,0.0000200000,0.0002400000,0.0066400000
0.3,320,0.4,0.3,0.3,0.0000400000,0.0003200000,0.0050200000
0.3,320,0.5,0.4,0.1,0.0000000000,0.0006000000,0.0012200000
0.3,320,0.5,0.1,0.4,0.0000000000,0.0001400000,0.0064200000
0.3,320,0.6,0.1,0.3,0.0000200000,0.0000800000,0.0048800000
0.3,340,0.1,0.6,0.3,0.0000000000,0.0003000000,0.0014800000
0.3,340,0.1,0.2,0.7,0.0000000000,0.0000600000,0.0036600000
0.3,340,0.2,0.3,0.5,0.0000200000,0.0001200000,0.0025200000
0.3,340,0.2,0.5,0.3,0.0000000000,0.0001800000,0.0015000000
0.3,340,0.2,0.6,0.2,0.0000000000,0.0003600000,0.0010600000
0.3,340,0.2,0.4,0.4,0.0000000000,0.0001800000,0.0020400000
0.3,340,0.3,0.3,0.4,0.0000200000,0.0001200000,0.0021400000
